title,company_era,developer,series,genre,subgenre,dimension,platform,platform_family,platform_type,release_year,region,sales,gross_revenue,critic_score,user_score,exclusivity_status,nintendo_relationship_era,japan_only
Space Invaders Extreme,Square Enix,Taito Corporation,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,DS,Nintendo,Handheld,2008.0,JP,0.01,,83.0,,Multiplatform,Post-Merger,False
Space Invaders Extreme,Square Enix,Taito Corporation,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,DS,Nintendo,Handheld,2008.0,NA,0.12,,83.0,,Multiplatform,Post-Merger,False
Space Invaders Extreme,Square Enix,Taito Corporation,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,DS,Nintendo,Handheld,2008.0,Other,0.01,,83.0,,Multiplatform,Post-Merger,False
Space Invaders Extreme,Square Enix,Taito Corporation,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,DS,Nintendo,Handheld,2008.0,PAL,0.01,,83.0,,Multiplatform,Post-Merger,False
Space Invaders Extreme,Square Enix,"GULTI co.,ltd.",Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,PSP,PlayStation,Handheld,2008.0,JP,0.01,,82.0,,Multiplatform,N/A,False
Space Invaders Extreme,Square Enix,"GULTI co.,ltd.",Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,PSP,PlayStation,Handheld,2008.0,NA,0.06,,82.0,,Multiplatform,N/A,False
Space Invaders Extreme,Square Enix,"GULTI co.,ltd.",Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,PSP,PlayStation,Handheld,2008.0,Other,0.01,,82.0,,Multiplatform,N/A,False
Space Invaders Extreme,Square Enix,"GULTI co.,ltd.",Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,PSP,PlayStation,Handheld,2008.0,PAL,0.02,,82.0,,Multiplatform,N/A,False
Space Invaders Get Even,Square Enix,Cattle Call,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,WW,Other,Other,2008.0,JP,,,,,Exclusive,N/A,False
Space Invaders Get Even,Square Enix,Cattle Call,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,WW,Other,Other,2008.0,NA,,,,,Exclusive,N/A,False
Space Invaders Get Even,Square Enix,Cattle Call,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,WW,Other,Other,2008.0,Other,,,,,Exclusive,N/A,False
Space Invaders Get Even,Square Enix,Cattle Call,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,WW,Other,Other,2008.0,PAL,,,,,Exclusive,N/A,False
Space Invaders Infinity Gene,Square Enix,Taito Corporation,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,PSN,Other,Other,2010.0,JP,,,83.0,,Exclusive,N/A,False
Space Invaders Infinity Gene,Square Enix,Taito Corporation,Space Invaders,Shooter,Scrolling / Rail Shooter,Unknown,PSN,Other,Other,2010.0,NA,,,83.0,,Exclusive,N/A,False
