title,company_era,developer,series,genre,subgenre,dimension,platform,platform_family,platform_type,release_year,region,sales,gross_revenue,critic_score,user_score,exclusivity_status,nintendo_relationship_era,japan_only
Tactics Ogre: Reborn,Square Enix,Square Enix,Ogre,Role-Playing,Tactical / Strategy RPG,2D,Switch,Nintendo,Home Console,2022.0,JP,,,84.0,,Exclusive,Post-Merger,False
Tactics Ogre: Reborn,Square Enix,Square Enix,Ogre,Role-Playing,Tactical / Strategy RPG,2D,Switch,Nintendo,Home Console,2022.0,NA,,,84.0,,Exclusive,Post-Merger,False
Tactics Ogre: Reborn,Square Enix,Square Enix,Ogre,Role-Playing,Tactical / Strategy RPG,2D,Switch,Nintendo,Home Console,2022.0,Other,,,84.0,,Exclusive,Post-Merger,False
Tactics Ogre: Reborn,Square Enix,Square Enix,Ogre,Role-Playing,Tactical / Strategy RPG,2D,Switch,Nintendo,Home Console,2022.0,PAL,,,84.0,,Exclusive,Post-Merger,False
,Square Enix,Square Enix,Standalone,,,,Wii,,,,,,,,,Multiplatform,,False
The Tales of Bearsworth Manor: Chaotic Conflicts,Square Enix,Square Enix,Standalone,Puzzle,,Unknown,WW,Other,Other,2010.0,JP,,,,,Exclusive,N/A,False
The Tales of Bearsworth Manor: Chaotic Conflicts,Square Enix,Square Enix,Standalone,Puzzle,,Unknown,WW,Other,Other,2010.0,NA,,,,,Exclusive,N/A,False
The Tales of Bearsworth Manor: Chaotic Conflicts,Square Enix,Square Enix,Standalone,Puzzle,,Unknown,WW,Other,Other,2010.0,Other,,,,,Exclusive,N/A,False
The Tales of Bearsworth Manor: Chaotic Conflicts,Square Enix,Square Enix,Standalone,Puzzle,,Unknown,WW,Other,Other,2010.0,PAL,,,,,Exclusive,N/A,False
The Tales of Bearsworth Manor: Puzzling Pages,Square Enix,Square Enix,Standalone,Puzzle,,Unknown,WW,Other,Other,2010.0,JP,,,,,Exclusive,N/A,False
The Tales of Bearsworth Manor: Puzzling Pages,Square Enix,Square Enix,Standalone,Puzzle,,Unknown,WW,Other,Other,2010.0,NA,,,,,Exclusive,N/A,False
The Tales of Bearsworth Manor: Puzzling Pages,Square Enix,Square Enix,Standalone,Puzzle,,Unknown,WW,Other,Other,2010.0,Other,,,,,Exclusive,N/A,False
The Tales of Bearsworth Manor: Puzzling Pages,Square Enix,Square Enix,Standalone,Puzzle,,Unknown,WW,Other,Other,2010.0,PAL,,,,,Exclusive,N/A,False
Ten Made Jack: Odorokimamenoki Dai Tou Bou!!,Enix,Exrays,Standalone,Platform,,Unknown,PS1,PlayStation,Home Console,2000.0,JP,,,,,Exclusive,N/A,False
Ten Made Jack: Odorokimamenoki Dai Tou Bou!!,Enix,Exrays,Standalone,Platform,,Unknown,PS1,PlayStation,Home Console,2000.0,NA,,,,,Exclusive,N/A,False
Ten Made Jack: Odorokimamenoki Dai Tou Bou!!,Enix,Exrays,Standalone,Platform,,Unknown,PS1,PlayStation,Home Console,2000.0,Other,,,,,Exclusive,N/A,False
